config_path,results_dir,status
configs/evolution/20260226_evo_smoke_i120_20260228_215641/20260226_evo_smoke_i120_20260228_215641_v001_evo_e6894fa86964_oos20220601_20230430.yaml,artifacts/wfa/runs/20260226_evo_smoke_i120_20260228_215641/holdout_20260226_evo_smoke_i120_20260228_215641_v001_evo_e6894fa86964_oos20220601_20230430,completed
configs/evolution/20260226_evo_smoke_i120_20260228_215641/20260226_evo_smoke_i120_20260228_215641_v001_evo_e6894fa86964_oos20220601_20230430_stress.yaml,artifacts/wfa/runs/20260226_evo_smoke_i120_20260228_215641/stress_20260226_evo_smoke_i120_20260228_215641_v001_evo_e6894fa86964_oos20220601_20230430,completed
configs/evolution/20260226_evo_smoke_i120_20260228_215641/20260226_evo_smoke_i120_20260228_215641_v001_evo_e6894fa86964_oos20231001_20240930.yaml,artifacts/wfa/runs/20260226_evo_smoke_i120_20260228_215641/holdout_20260226_evo_smoke_i120_20260228_215641_v001_evo_e6894fa86964_oos20231001_20240930,completed
configs/evolution/20260226_evo_smoke_i120_20260228_215641/20260226_evo_smoke_i120_20260228_215641_v001_evo_e6894fa86964_oos20231001_20240930_stress.yaml,artifacts/wfa/runs/20260226_evo_smoke_i120_20260228_215641/stress_20260226_evo_smoke_i120_20260228_215641_v001_evo_e6894fa86964_oos20231001_20240930,completed
configs/evolution/20260226_evo_smoke_i120_20260228_215641/20260226_evo_smoke_i120_20260228_215641_v001_evo_e6894fa86964_oos20240501_20250630.yaml,artifacts/wfa/runs/20260226_evo_smoke_i120_20260228_215641/holdout_20260226_evo_smoke_i120_20260228_215641_v001_evo_e6894fa86964_oos20240501_20250630,completed
configs/evolution/20260226_evo_smoke_i120_20260228_215641/20260226_evo_smoke_i120_20260228_215641_v001_evo_e6894fa86964_oos20240501_20250630_stress.yaml,artifacts/wfa/runs/20260226_evo_smoke_i120_20260228_215641/stress_20260226_evo_smoke_i120_20260228_215641_v001_evo_e6894fa86964_oos20240501_20250630,completed
configs/evolution/20260226_evo_smoke_i120_20260228_215641/20260226_evo_smoke_i120_20260228_215641_v002_evo_93417c39f88e_oos20220601_20230430.yaml,artifacts/wfa/runs/20260226_evo_smoke_i120_20260228_215641/holdout_20260226_evo_smoke_i120_20260228_215641_v002_evo_93417c39f88e_oos20220601_20230430,completed
configs/evolution/20260226_evo_smoke_i120_20260228_215641/20260226_evo_smoke_i120_20260228_215641_v002_evo_93417c39f88e_oos20220601_20230430_stress.yaml,artifacts/wfa/runs/20260226_evo_smoke_i120_20260228_215641/stress_20260226_evo_smoke_i120_20260228_215641_v002_evo_93417c39f88e_oos20220601_20230430,completed
configs/evolution/20260226_evo_smoke_i120_20260228_215641/20260226_evo_smoke_i120_20260228_215641_v002_evo_93417c39f88e_oos20231001_20240930.yaml,artifacts/wfa/runs/20260226_evo_smoke_i120_20260228_215641/holdout_20260226_evo_smoke_i120_20260228_215641_v002_evo_93417c39f88e_oos20231001_20240930,completed
configs/evolution/20260226_evo_smoke_i120_20260228_215641/20260226_evo_smoke_i120_20260228_215641_v002_evo_93417c39f88e_oos20231001_20240930_stress.yaml,artifacts/wfa/runs/20260226_evo_smoke_i120_20260228_215641/stress_20260226_evo_smoke_i120_20260228_215641_v002_evo_93417c39f88e_oos20231001_20240930,completed
configs/evolution/20260226_evo_smoke_i120_20260228_215641/20260226_evo_smoke_i120_20260228_215641_v002_evo_93417c39f88e_oos20240501_20250630.yaml,artifacts/wfa/runs/20260226_evo_smoke_i120_20260228_215641/holdout_20260226_evo_smoke_i120_20260228_215641_v002_evo_93417c39f88e_oos20240501_20250630,completed
configs/evolution/20260226_evo_smoke_i120_20260228_215641/20260226_evo_smoke_i120_20260228_215641_v002_evo_93417c39f88e_oos20240501_20250630_stress.yaml,artifacts/wfa/runs/20260226_evo_smoke_i120_20260228_215641/stress_20260226_evo_smoke_i120_20260228_215641_v002_evo_93417c39f88e_oos20240501_20250630,completed
configs/evolution/20260226_evo_smoke_i120_20260228_215641/20260226_evo_smoke_i120_20260228_215641_v003_evo_74ace3492b26_oos20220601_20230430.yaml,artifacts/wfa/runs/20260226_evo_smoke_i120_20260228_215641/holdout_20260226_evo_smoke_i120_20260228_215641_v003_evo_74ace3492b26_oos20220601_20230430,completed
configs/evolution/20260226_evo_smoke_i120_20260228_215641/20260226_evo_smoke_i120_20260228_215641_v003_evo_74ace3492b26_oos20220601_20230430_stress.yaml,artifacts/wfa/runs/20260226_evo_smoke_i120_20260228_215641/stress_20260226_evo_smoke_i120_20260228_215641_v003_evo_74ace3492b26_oos20220601_20230430,completed
configs/evolution/20260226_evo_smoke_i120_20260228_215641/20260226_evo_smoke_i120_20260228_215641_v003_evo_74ace3492b26_oos20231001_20240930.yaml,artifacts/wfa/runs/20260226_evo_smoke_i120_20260228_215641/holdout_20260226_evo_smoke_i120_20260228_215641_v003_evo_74ace3492b26_oos20231001_20240930,completed
configs/evolution/20260226_evo_smoke_i120_20260228_215641/20260226_evo_smoke_i120_20260228_215641_v003_evo_74ace3492b26_oos20231001_20240930_stress.yaml,artifacts/wfa/runs/20260226_evo_smoke_i120_20260228_215641/stress_20260226_evo_smoke_i120_20260228_215641_v003_evo_74ace3492b26_oos20231001_20240930,completed
