config_path,results_dir,status
configs/budget_20260212_1000_sharpe_signal_sprint12/holdout_relaxed8_nokpss_20260212_oos20230501_20240430_top250_z1p10_exit0p08_hold300_cd300_ms0p2_cap1000_maxnot1000_risk0p015_minnot5_maxpairs24_corr0p34_pv0p35_z1p10.yaml,artifacts/wfa/runs/20260212_budget1000_sharpe_signal_sprint12/holdout_relaxed8_nokpss_20260212_oos20230501_20240430_top250_z1p10_exit0p08_hold300_cd300_ms0p2_cap1000_maxnot1000_risk0p015_minnot5_maxpairs24_corr0p34_pv0p35_z1p10,completed
configs/budget_20260212_1000_sharpe_signal_sprint12/stress_relaxed8_nokpss_20260212_oos20230501_20240430_top250_z1p10_exit0p08_hold300_cd300_ms0p2_cap1000_maxnot1000_risk0p015_minnot5_maxpairs24_corr0p34_pv0p35_z1p10.yaml,artifacts/wfa/runs/20260212_budget1000_sharpe_signal_sprint12/stress_relaxed8_nokpss_20260212_oos20230501_20240430_top250_z1p10_exit0p08_hold300_cd300_ms0p2_cap1000_maxnot1000_risk0p015_minnot5_maxpairs24_corr0p34_pv0p35_z1p10,completed
configs/budget_20260212_1000_sharpe_signal_sprint12/holdout_relaxed8_nokpss_20260212_oos20230501_20240430_top250_z1p15_exit0p08_hold300_cd300_ms0p2_cap1000_maxnot1000_risk0p015_minnot5_maxpairs24_corr0p34_pv0p35_z1p15.yaml,artifacts/wfa/runs/20260212_budget1000_sharpe_signal_sprint12/holdout_relaxed8_nokpss_20260212_oos20230501_20240430_top250_z1p15_exit0p08_hold300_cd300_ms0p2_cap1000_maxnot1000_risk0p015_minnot5_maxpairs24_corr0p34_pv0p35_z1p15,completed
configs/budget_20260212_1000_sharpe_signal_sprint12/stress_relaxed8_nokpss_20260212_oos20230501_20240430_top250_z1p15_exit0p08_hold300_cd300_ms0p2_cap1000_maxnot1000_risk0p015_minnot5_maxpairs24_corr0p34_pv0p35_z1p15.yaml,artifacts/wfa/runs/20260212_budget1000_sharpe_signal_sprint12/stress_relaxed8_nokpss_20260212_oos20230501_20240430_top250_z1p15_exit0p08_hold300_cd300_ms0p2_cap1000_maxnot1000_risk0p015_minnot5_maxpairs24_corr0p34_pv0p35_z1p15,completed
configs/budget_20260212_1000_sharpe_signal_sprint12/holdout_relaxed8_nokpss_20260212_oos20230501_20240430_top250_z1p20_exit0p08_hold300_cd300_ms0p2_cap1000_maxnot1000_risk0p015_minnot5_maxpairs24_corr0p34_pv0p35_z1p20.yaml,artifacts/wfa/runs/20260212_budget1000_sharpe_signal_sprint12/holdout_relaxed8_nokpss_20260212_oos20230501_20240430_top250_z1p20_exit0p08_hold300_cd300_ms0p2_cap1000_maxnot1000_risk0p015_minnot5_maxpairs24_corr0p34_pv0p35_z1p20,completed
configs/budget_20260212_1000_sharpe_signal_sprint12/stress_relaxed8_nokpss_20260212_oos20230501_20240430_top250_z1p20_exit0p08_hold300_cd300_ms0p2_cap1000_maxnot1000_risk0p015_minnot5_maxpairs24_corr0p34_pv0p35_z1p20.yaml,artifacts/wfa/runs/20260212_budget1000_sharpe_signal_sprint12/stress_relaxed8_nokpss_20260212_oos20230501_20240430_top250_z1p20_exit0p08_hold300_cd300_ms0p2_cap1000_maxnot1000_risk0p015_minnot5_maxpairs24_corr0p34_pv0p35_z1p20,completed
configs/budget_20260212_1000_sharpe_signal_sprint12/holdout_relaxed8_nokpss_20260212_oos20230501_20240430_top250_z1p25_exit0p08_hold300_cd300_ms0p2_cap1000_maxnot1000_risk0p015_minnot5_maxpairs24_corr0p34_pv0p35_z1p25.yaml,artifacts/wfa/runs/20260212_budget1000_sharpe_signal_sprint12/holdout_relaxed8_nokpss_20260212_oos20230501_20240430_top250_z1p25_exit0p08_hold300_cd300_ms0p2_cap1000_maxnot1000_risk0p015_minnot5_maxpairs24_corr0p34_pv0p35_z1p25,completed
configs/budget_20260212_1000_sharpe_signal_sprint12/stress_relaxed8_nokpss_20260212_oos20230501_20240430_top250_z1p25_exit0p08_hold300_cd300_ms0p2_cap1000_maxnot1000_risk0p015_minnot5_maxpairs24_corr0p34_pv0p35_z1p25.yaml,artifacts/wfa/runs/20260212_budget1000_sharpe_signal_sprint12/stress_relaxed8_nokpss_20260212_oos20230501_20240430_top250_z1p25_exit0p08_hold300_cd300_ms0p2_cap1000_maxnot1000_risk0p015_minnot5_maxpairs24_corr0p34_pv0p35_z1p25,completed
configs/budget_20260212_1000_sharpe_signal_sprint12/holdout_relaxed8_nokpss_20260212_oos20230501_20240430_top250_z1p30_exit0p08_hold300_cd300_ms0p2_cap1000_maxnot1000_risk0p015_minnot5_maxpairs24_corr0p34_pv0p35_z1p30.yaml,artifacts/wfa/runs/20260212_budget1000_sharpe_signal_sprint12/holdout_relaxed8_nokpss_20260212_oos20230501_20240430_top250_z1p30_exit0p08_hold300_cd300_ms0p2_cap1000_maxnot1000_risk0p015_minnot5_maxpairs24_corr0p34_pv0p35_z1p30,completed
configs/budget_20260212_1000_sharpe_signal_sprint12/stress_relaxed8_nokpss_20260212_oos20230501_20240430_top250_z1p30_exit0p08_hold300_cd300_ms0p2_cap1000_maxnot1000_risk0p015_minnot5_maxpairs24_corr0p34_pv0p35_z1p30.yaml,artifacts/wfa/runs/20260212_budget1000_sharpe_signal_sprint12/stress_relaxed8_nokpss_20260212_oos20230501_20240430_top250_z1p30_exit0p08_hold300_cd300_ms0p2_cap1000_maxnot1000_risk0p015_minnot5_maxpairs24_corr0p34_pv0p35_z1p30,completed
