config_path,results_dir,status
configs/budget1000_autopilot/20260218_budget1000_bl13_r05_max_hurst_exponent/holdout_prod_final_budget1000_risk0p006_slusd1p91_risk0p006_vm1p0075_corr0p34_pv0p39_corr0p28_min_beta__fbfbb973c3f2__21p0_corr0p335_risk0p007_risk0p0065_vm1p0095_max_pairs18p0_oos20220601_20230430_max_hurst_exponent0p64.yaml,artifacts/wfa/runs_clean/20260218_budget1000_bl13_r05_max_hurst_exponent/holdout_prod_final_budget1000_risk0p006_slusd1p91_risk0p006_vm1p0075_corr0p34_pv0p39_corr0p28_min_beta__fbfbb973c3f2__21p0_corr0p335_risk0p007_risk0p0065_vm1p0095_max_pairs18p0_oos20220601_20230430_max_hurst_exponent0p64,completed
configs/budget1000_autopilot/20260218_budget1000_bl13_r05_max_hurst_exponent/stress_prod_final_budget1000_risk0p006_slusd1p91_risk0p006_vm1p0075_corr0p34_pv0p39_corr0p28_min_beta0__97e67aee46fb__21p0_corr0p335_risk0p007_risk0p0065_vm1p0095_max_pairs18p0_oos20220601_20230430_max_hurst_exponent0p64.yaml,artifacts/wfa/runs_clean/20260218_budget1000_bl13_r05_max_hurst_exponent/stress_prod_final_budget1000_risk0p006_slusd1p91_risk0p006_vm1p0075_corr0p34_pv0p39_corr0p28_min_beta0__97e67aee46fb__21p0_corr0p335_risk0p007_risk0p0065_vm1p0095_max_pairs18p0_oos20220601_20230430_max_hurst_exponent0p64,completed
configs/budget1000_autopilot/20260218_budget1000_bl13_r05_max_hurst_exponent/holdout_prod_final_budget1000_risk0p006_slusd1p91_risk0p006_vm1p0075_corr0p34_pv0p39_corr0p28_min_beta__d5bdaf4eeebf__21p0_corr0p335_risk0p007_risk0p0065_vm1p0095_max_pairs18p0_oos20220601_20230430_max_hurst_exponent0p66.yaml,artifacts/wfa/runs_clean/20260218_budget1000_bl13_r05_max_hurst_exponent/holdout_prod_final_budget1000_risk0p006_slusd1p91_risk0p006_vm1p0075_corr0p34_pv0p39_corr0p28_min_beta__d5bdaf4eeebf__21p0_corr0p335_risk0p007_risk0p0065_vm1p0095_max_pairs18p0_oos20220601_20230430_max_hurst_exponent0p66,completed
configs/budget1000_autopilot/20260218_budget1000_bl13_r05_max_hurst_exponent/stress_prod_final_budget1000_risk0p006_slusd1p91_risk0p006_vm1p0075_corr0p34_pv0p39_corr0p28_min_beta0__bd5a780a7b65__21p0_corr0p335_risk0p007_risk0p0065_vm1p0095_max_pairs18p0_oos20220601_20230430_max_hurst_exponent0p66.yaml,artifacts/wfa/runs_clean/20260218_budget1000_bl13_r05_max_hurst_exponent/stress_prod_final_budget1000_risk0p006_slusd1p91_risk0p006_vm1p0075_corr0p34_pv0p39_corr0p28_min_beta0__bd5a780a7b65__21p0_corr0p335_risk0p007_risk0p0065_vm1p0095_max_pairs18p0_oos20220601_20230430_max_hurst_exponent0p66,completed
configs/budget1000_autopilot/20260218_budget1000_bl13_r05_max_hurst_exponent/holdout_prod_final_budget1000_risk0p006_slusd1p91_risk0p006_vm1p0075_corr0p34_pv0p39_corr0p28_min_beta__57720e34bdf5__21p0_corr0p335_risk0p007_risk0p0065_vm1p0095_max_pairs18p0_oos20220601_20230430_max_hurst_exponent0p68.yaml,artifacts/wfa/runs_clean/20260218_budget1000_bl13_r05_max_hurst_exponent/holdout_prod_final_budget1000_risk0p006_slusd1p91_risk0p006_vm1p0075_corr0p34_pv0p39_corr0p28_min_beta__57720e34bdf5__21p0_corr0p335_risk0p007_risk0p0065_vm1p0095_max_pairs18p0_oos20220601_20230430_max_hurst_exponent0p68,completed
configs/budget1000_autopilot/20260218_budget1000_bl13_r05_max_hurst_exponent/stress_prod_final_budget1000_risk0p006_slusd1p91_risk0p006_vm1p0075_corr0p34_pv0p39_corr0p28_min_beta0__a9c91800844d__21p0_corr0p335_risk0p007_risk0p0065_vm1p0095_max_pairs18p0_oos20220601_20230430_max_hurst_exponent0p68.yaml,artifacts/wfa/runs_clean/20260218_budget1000_bl13_r05_max_hurst_exponent/stress_prod_final_budget1000_risk0p006_slusd1p91_risk0p006_vm1p0075_corr0p34_pv0p39_corr0p28_min_beta0__a9c91800844d__21p0_corr0p335_risk0p007_risk0p0065_vm1p0095_max_pairs18p0_oos20220601_20230430_max_hurst_exponent0p68,completed
configs/budget1000_autopilot/20260218_budget1000_bl13_r05_max_hurst_exponent/holdout_prod_final_budget1000_risk0p006_slusd1p91_risk0p006_vm1p0075_corr0p34_pv0p39_corr0p28_min_beta__2971e4c9c364__s21p0_corr0p335_risk0p007_risk0p0065_vm1p0095_max_pairs18p0_oos20220601_20230430_max_hurst_exponent0p7.yaml,artifacts/wfa/runs_clean/20260218_budget1000_bl13_r05_max_hurst_exponent/holdout_prod_final_budget1000_risk0p006_slusd1p91_risk0p006_vm1p0075_corr0p34_pv0p39_corr0p28_min_beta__2971e4c9c364__s21p0_corr0p335_risk0p007_risk0p0065_vm1p0095_max_pairs18p0_oos20220601_20230430_max_hurst_exponent0p7,completed
configs/budget1000_autopilot/20260218_budget1000_bl13_r05_max_hurst_exponent/stress_prod_final_budget1000_risk0p006_slusd1p91_risk0p006_vm1p0075_corr0p34_pv0p39_corr0p28_min_beta0__4762c33ee587__s21p0_corr0p335_risk0p007_risk0p0065_vm1p0095_max_pairs18p0_oos20220601_20230430_max_hurst_exponent0p7.yaml,artifacts/wfa/runs_clean/20260218_budget1000_bl13_r05_max_hurst_exponent/stress_prod_final_budget1000_risk0p006_slusd1p91_risk0p006_vm1p0075_corr0p34_pv0p39_corr0p28_min_beta0__4762c33ee587__s21p0_corr0p335_risk0p007_risk0p0065_vm1p0095_max_pairs18p0_oos20220601_20230430_max_hurst_exponent0p7,completed
configs/budget1000_autopilot/20260218_budget1000_bl13_r05_max_hurst_exponent/holdout_prod_final_budget1000_risk0p006_slusd1p91_risk0p006_vm1p0075_corr0p34_pv0p39_corr0p28_min_beta__5b48071fda28__21p0_corr0p335_risk0p007_risk0p0065_vm1p0095_max_pairs18p0_oos20220601_20230430_max_hurst_exponent0p72.yaml,artifacts/wfa/runs_clean/20260218_budget1000_bl13_r05_max_hurst_exponent/holdout_prod_final_budget1000_risk0p006_slusd1p91_risk0p006_vm1p0075_corr0p34_pv0p39_corr0p28_min_beta__5b48071fda28__21p0_corr0p335_risk0p007_risk0p0065_vm1p0095_max_pairs18p0_oos20220601_20230430_max_hurst_exponent0p72,completed
configs/budget1000_autopilot/20260218_budget1000_bl13_r05_max_hurst_exponent/stress_prod_final_budget1000_risk0p006_slusd1p91_risk0p006_vm1p0075_corr0p34_pv0p39_corr0p28_min_beta0__730d84eded16__21p0_corr0p335_risk0p007_risk0p0065_vm1p0095_max_pairs18p0_oos20220601_20230430_max_hurst_exponent0p72.yaml,artifacts/wfa/runs_clean/20260218_budget1000_bl13_r05_max_hurst_exponent/stress_prod_final_budget1000_risk0p006_slusd1p91_risk0p006_vm1p0075_corr0p34_pv0p39_corr0p28_min_beta0__730d84eded16__21p0_corr0p335_risk0p007_risk0p0065_vm1p0095_max_pairs18p0_oos20220601_20230430_max_hurst_exponent0p72,completed
