config_path,results_dir,status
configs/budget1000_autopilot/20260217_budget1000_bl11_r05_slusd/holdout_prod_final_budget1000_risk0p006_slusd1p91_risk0p006_vm1p0075_corr0p34_pv0p39_corr0p28_min_beta0p0005_vm1p0095_slusd2p16_corr0p26_vm1p0035_vm1p0065_max_pairs21p0_corr0p335_oos20220601_20230430_slusd1p2.yaml,artifacts/wfa/runs_clean/20260217_budget1000_bl11_r05_slusd/holdout_prod_final_budget1000_risk0p006_slusd1p91_risk0p006_vm1p0075_corr0p34_pv0p39_corr0p28_min_beta0p0005_vm1p0095_slusd2p16_corr0p26_vm1p0035_vm1p0065_max_pairs21p0_corr0p335_oos20220601_20230430_slusd1p2,completed
configs/budget1000_autopilot/20260217_budget1000_bl11_r05_slusd/stress_prod_final_budget1000_risk0p006_slusd1p91_risk0p006_vm1p0075_corr0p34_pv0p39_corr0p28_min_beta0p0005_vm1p0095_slusd2p16_corr0p26_vm1p0035_vm1p0065_max_pairs21p0_corr0p335_oos20220601_20230430_slusd1p2.yaml,artifacts/wfa/runs_clean/20260217_budget1000_bl11_r05_slusd/stress_prod_final_budget1000_risk0p006_slusd1p91_risk0p006_vm1p0075_corr0p34_pv0p39_corr0p28_min_beta0p0005_vm1p0095_slusd2p16_corr0p26_vm1p0035_vm1p0065_max_pairs21p0_corr0p335_oos20220601_20230430_slusd1p2,completed
configs/budget1000_autopilot/20260217_budget1000_bl11_r05_slusd/holdout_prod_final_budget1000_risk0p006_slusd1p91_risk0p006_vm1p0075_corr0p34_pv0p39_corr0p28_min_beta0p0005_vm1p0095_slusd2p16_corr0p26_vm1p0035_vm1p0065_max_pairs21p0_corr0p335_oos20220601_20230430_slusd1p46.yaml,artifacts/wfa/runs_clean/20260217_budget1000_bl11_r05_slusd/holdout_prod_final_budget1000_risk0p006_slusd1p91_risk0p006_vm1p0075_corr0p34_pv0p39_corr0p28_min_beta0p0005_vm1p0095_slusd2p16_corr0p26_vm1p0035_vm1p0065_max_pairs21p0_corr0p335_oos20220601_20230430_slusd1p46,completed
configs/budget1000_autopilot/20260217_budget1000_bl11_r05_slusd/stress_prod_final_budget1000_risk0p006_slusd1p91_risk0p006_vm1p0075_corr0p34_pv0p39_corr0p28_min_beta0p0005_vm1p0095_slusd2p16_corr0p26_vm1p0035_vm1p0065_max_pairs21p0_corr0p335_oos20220601_20230430_slusd1p46.yaml,artifacts/wfa/runs_clean/20260217_budget1000_bl11_r05_slusd/stress_prod_final_budget1000_risk0p006_slusd1p91_risk0p006_vm1p0075_corr0p34_pv0p39_corr0p28_min_beta0p0005_vm1p0095_slusd2p16_corr0p26_vm1p0035_vm1p0065_max_pairs21p0_corr0p335_oos20220601_20230430_slusd1p46,completed
configs/budget1000_autopilot/20260217_budget1000_bl11_r05_slusd/holdout_prod_final_budget1000_risk0p006_slusd1p91_risk0p006_vm1p0075_corr0p34_pv0p39_corr0p28_min_beta0p0005_vm1p0095_slusd2p16_corr0p26_vm1p0035_vm1p0065_max_pairs21p0_corr0p335_oos20220601_20230430_slusd1p81.yaml,artifacts/wfa/runs_clean/20260217_budget1000_bl11_r05_slusd/holdout_prod_final_budget1000_risk0p006_slusd1p91_risk0p006_vm1p0075_corr0p34_pv0p39_corr0p28_min_beta0p0005_vm1p0095_slusd2p16_corr0p26_vm1p0035_vm1p0065_max_pairs21p0_corr0p335_oos20220601_20230430_slusd1p81,completed
configs/budget1000_autopilot/20260217_budget1000_bl11_r05_slusd/stress_prod_final_budget1000_risk0p006_slusd1p91_risk0p006_vm1p0075_corr0p34_pv0p39_corr0p28_min_beta0p0005_vm1p0095_slusd2p16_corr0p26_vm1p0035_vm1p0065_max_pairs21p0_corr0p335_oos20220601_20230430_slusd1p81.yaml,artifacts/wfa/runs_clean/20260217_budget1000_bl11_r05_slusd/stress_prod_final_budget1000_risk0p006_slusd1p91_risk0p006_vm1p0075_corr0p34_pv0p39_corr0p28_min_beta0p0005_vm1p0095_slusd2p16_corr0p26_vm1p0035_vm1p0065_max_pairs21p0_corr0p335_oos20220601_20230430_slusd1p81,completed
configs/budget1000_autopilot/20260217_budget1000_bl11_r05_slusd/holdout_prod_final_budget1000_risk0p006_slusd1p91_risk0p006_vm1p0075_corr0p34_pv0p39_corr0p28_min_beta0p0005_vm1p0095_slusd2p16_corr0p26_vm1p0035_vm1p0065_max_pairs21p0_corr0p335_oos20220601_20230430_slusd2p51.yaml,artifacts/wfa/runs_clean/20260217_budget1000_bl11_r05_slusd/holdout_prod_final_budget1000_risk0p006_slusd1p91_risk0p006_vm1p0075_corr0p34_pv0p39_corr0p28_min_beta0p0005_vm1p0095_slusd2p16_corr0p26_vm1p0035_vm1p0065_max_pairs21p0_corr0p335_oos20220601_20230430_slusd2p51,completed
configs/budget1000_autopilot/20260217_budget1000_bl11_r05_slusd/stress_prod_final_budget1000_risk0p006_slusd1p91_risk0p006_vm1p0075_corr0p34_pv0p39_corr0p28_min_beta0p0005_vm1p0095_slusd2p16_corr0p26_vm1p0035_vm1p0065_max_pairs21p0_corr0p335_oos20220601_20230430_slusd2p51.yaml,artifacts/wfa/runs_clean/20260217_budget1000_bl11_r05_slusd/stress_prod_final_budget1000_risk0p006_slusd1p91_risk0p006_vm1p0075_corr0p34_pv0p39_corr0p28_min_beta0p0005_vm1p0095_slusd2p16_corr0p26_vm1p0035_vm1p0065_max_pairs21p0_corr0p335_oos20220601_20230430_slusd2p51,completed
configs/budget1000_autopilot/20260217_budget1000_bl11_r05_slusd/holdout_prod_final_budget1000_risk0p006_slusd1p91_risk0p006_vm1p0075_corr0p34_pv0p39_corr0p28_min_beta0p0005_vm1p0095_slusd2p16_corr0p26_vm1p0035_vm1p0065_max_pairs21p0_corr0p335_oos20220601_20230430_slusd2p86.yaml,artifacts/wfa/runs_clean/20260217_budget1000_bl11_r05_slusd/holdout_prod_final_budget1000_risk0p006_slusd1p91_risk0p006_vm1p0075_corr0p34_pv0p39_corr0p28_min_beta0p0005_vm1p0095_slusd2p16_corr0p26_vm1p0035_vm1p0065_max_pairs21p0_corr0p335_oos20220601_20230430_slusd2p86,completed
configs/budget1000_autopilot/20260217_budget1000_bl11_r05_slusd/stress_prod_final_budget1000_risk0p006_slusd1p91_risk0p006_vm1p0075_corr0p34_pv0p39_corr0p28_min_beta0p0005_vm1p0095_slusd2p16_corr0p26_vm1p0035_vm1p0065_max_pairs21p0_corr0p335_oos20220601_20230430_slusd2p86.yaml,artifacts/wfa/runs_clean/20260217_budget1000_bl11_r05_slusd/stress_prod_final_budget1000_risk0p006_slusd1p91_risk0p006_vm1p0075_corr0p34_pv0p39_corr0p28_min_beta0p0005_vm1p0095_slusd2p16_corr0p26_vm1p0035_vm1p0065_max_pairs21p0_corr0p335_oos20220601_20230430_slusd2p86,completed
